2006,2007,2008,2009,2010,2011,Cantón,Provincia,Variables
0.7965543,0.7512112,0.7188869,0.7216728,0.71603,0.7345642,Alajuela,Alajuela,Índice de competencia
1.086892,1.066238,0.9185671,1.115912,0.9921319,0.944576,Alfaro Ruiz,Alajuela,Índice de competencia
0.9363655,0.9506275,0.9021297,1.024405,1.07206,1.196751,Atenas,Alajuela,Índice de competencia
0.9122139,0.8936582,1.021667,0.9079697,0.910625,0.938642,Grecia,Alajuela,Índice de competencia
0.3435054,0.311937,0.3989347,0.298557,0.3483848,0.3347283,Guatuso,Alajuela,Índice de competencia
0.2064038,0.1645893,0.2258396,0.1881265,0.3702631,0.3272965,Los Chiles,Alajuela,Índice de competencia
0.6953563,0.695416,0.7271667,0.7101325,0.7215432,0.7232792,Naranjo,Alajuela,Índice de competencia
1.206108,1.165671,1.228836,1.111264,1.082816,1.025944,Orotina,Alajuela,Índice de competencia
1.414477,1.391343,1.576417,1.304918,1.406232,1.285508,Palmares,Alajuela,Índice de competencia
0.7088037,0.6803921,0.6632044,0.6827304,0.7609385,0.6586137,Poás,Alajuela,Índice de competencia
0.9265893,0.9508665,0.9907043,1.027074,0.9869672,1.027033,San Carlos,Alajuela,Índice de competencia
0.3763731,0.5096386,0.8449333,0.5204923,0.6577065,0.6202617,San Mateo,Alajuela,Índice de competencia
0.7147011,0.6484424,0.7738275,0.8136942,0.7542726,0.8056558,San Ramón,Alajuela,Índice de competencia
0.2967627,0.2474354,0.2277057,0.2439254,0.2506024,0.252795,Upala,Alajuela,Índice de competencia
0.8332324,0.9786405,0.9086084,0.8051122,0.9853056,0.9250844,Valverde Vega,Alajuela,Índice de competencia
0.1891981,0.2134393,0.2850199,0.2789954,0.2752903,0.2808898,Alvarado,Cartago,Índice de competencia
1.075144,1.042595,1.009741,1.071527,1.068639,1.065801,Cartago,Cartago,Índice de competencia
0.5378933,0.5393528,0.4558951,0.605568,0.5825545,0.5745836,El Guarco,Cartago,Índice de competencia
0.1620043,0.2029596,0.1574609,0.2083773,0.1955281,0.1848455,Jiménez,Cartago,Índice de competencia
0.4246908,0.4167975,0.4487145,0.4335995,0.4498571,0.4963681,La Unión,Cartago,Índice de competencia
0.2898268,0.3385812,0.303545,0.3502947,0.3799423,0.3690404,Oreamuno,Cartago,Índice de competencia
0.5263938,0.5048636,0.3857831,0.5141646,0.507673,0.4552702,Paraíso,Cartago,Índice de competencia
0.5892508,0.6324048,0.6903362,0.7622594,0.7242699,0.7513217,Turrialba,Cartago,Índice de competencia
0.5789578,0.6841738,0.712634,0.7028986,0.6400676,0.7105305,Abangares,Guanacaste,Índice de competencia
0.553039,0.6145999,0.761892,0.7465811,0.7128473,0.8430578,Bagaces,Guanacaste,Índice de competencia
0.8932837,1.025921,1.108807,1.107346,1.051345,1.18942,Cañas,Guanacaste,Índice de competencia
0.8200254,0.992592,0.977021,0.8107899,0.7655288,0.8040085,Carrillo,Guanacaste,Índice de competencia
0.7759113,0.7854733,0.8036247,0.5419943,0.6724855,0.6640798,Hojancha,Guanacaste,Índice de competencia
0.4354802,0.5232451,0.448794,0.4248844,0.3801202,0.350561,La Cruz,Guanacaste,Índice de competencia
0.9960319,1.207245,1.192893,1.08774,1.09399,1.073155,Liberia,Guanacaste,Índice de competencia
0.8531446,0.9929978,1.306731,0.8188023,0.7393087,0.7132463,Nandayure,Guanacaste,Índice de competencia
1.077918,1.241296,1.107309,1.150957,1.144412,1.133476,Nicoya,Guanacaste,Índice de competencia
1.351747,1.593646,1.261465,1.567011,1.512963,1.470437,Santa Cruz,Guanacaste,Índice de competencia
0.9225649,1.198007,1.561889,1.230385,1.053183,0.984444,Tilarán,Guanacaste,Índice de competencia
0.5156701,0.4906331,0.476557,0.5462265,0.5172926,0.599299,Barva,Heredia,Índice de competencia
1.67932,1.701781,1.705784,1.821592,1.871941,1.889848,Belén,Heredia,Índice de competencia
1.056358,0.9772134,0.9528804,1.151445,1.227826,1.315508,Flores,Heredia,Índice de competencia
1.2216,1.201189,1.25721,1.336956,1.409991,1.400861,Heredia,Heredia,Índice de competencia
0.3760009,0.4013519,0.3035434,0.5005733,0.5776517,0.620344,San Isidro,Heredia,Índice de competencia
0.5166535,0.4791625,0.457299,0.5331681,0.5712915,0.6137449,San Pablo,Heredia,Índice de competencia
0.5676815,0.5708352,0.5894614,0.5969337,0.6025922,0.6192724,San Rafael,Heredia,Índice de competencia
0.4431847,0.4533885,0.4853802,0.5115101,0.5311654,0.5662165,Santa Bárbara,Heredia,Índice de competencia
0.9602979,1.002923,1.043585,1.135464,1.171999,1.196678,Santo Domingo,Heredia,Índice de competencia
0.4868519,0.5423626,0.3936369,0.5660972,0.6283854,0.5773087,Sarapiquí,Heredia,Índice de competencia
0.289746,0.3370276,0.3499579,0.3996294,0.4073012,0.483907,Guácimo,Limón,Índice de competencia
0.8820024,0.8538176,0.8107466,0.9762875,0.8957606,0.9852527,Limón,Limón,Índice de competencia
0.3153848,0.3478394,0.2921211,0.4014916,0.372621,0.4137339,Matina,Limón,Índice de competencia
0.543988,0.6260085,0.5841594,0.6859035,0.7395796,0.707056,Pococí,Limón,Índice de competencia
0.4627019,0.5481054,0.4897144,0.4983226,0.7513192,0.8053433,Siquirres,Limón,Índice de competencia
0.9442247,0.9640228,0.6364748,1.064436,1.05091,0.9891176,Talamanca,Limón,Índice de competencia
1.66469,1.560349,1.265703,1.554409,1.410298,1.329273,Aguirre,Puntarenas,Índice de competencia
0.4142517,0.4450632,0.372902,0.530521,0.531449,0.5372348,Buenos Aires,Puntarenas,Índice de competencia
0.6083186,0.6865625,0.7245683,0.6950759,0.6666907,0.6892726,Corredores,Puntarenas,Índice de competencia
0.6191671,0.6940411,0.6484262,0.731029,0.7800015,0.7746792,Coto Brus,Puntarenas,Índice de competencia
0.9953398,1.100565,1.0792,0.9828467,1.094948,1.002795,Esparza,Puntarenas,Índice de competencia
2.446094,2.474848,2.099546,2.043259,2.010012,1.723968,Garabito,Puntarenas,Índice de competencia
0.6909124,0.7058165,0.9049661,0.7344593,0.839904,0.8248873,Golfito,Puntarenas,Índice de competencia
0.8443393,1.08125,0.7190567,0.9190865,0.9011266,1.175225,Montes de Oro,Puntarenas,Índice de competencia
0.781413,0.8127858,0.7998703,0.8365659,0.8913177,0.799847,Osa,Puntarenas,Índice de competencia
0.9989447,1.034232,0.998341,0.9155511,0.8058337,0.7949588,Parrita,Puntarenas,Índice de competencia
1.136402,1.188011,1.205873,1.0214,0.9987395,1.113013,Puntarenas,Puntarenas,Índice de competencia
0.3824314,0.3625645,0.4103677,0.3319788,0.3904144,0.3652371,Acosta,San José,Índice de competencia
0.2245203,0.2148056,0.2001268,0.2010034,0.189821,0.1988961,Alajuelita,San José,Índice de competencia
0.2448547,0.2127244,0.2309642,0.2579881,0.246204,0.2466844,Aserrí,San José,Índice de competencia
1.191419,1.092879,1.183441,1.06837,1.059842,1.155312,Curridabat,San José,Índice de competencia
0.419552,0.4194359,0.4233135,0.4460656,0.4663529,0.4829251,Desamparados,San José,Índice de competencia
0.4737892,0.497774,0.7639479,0.4233581,0.4314818,0.5673124,Dota,San José,Índice de competencia
1.627342,1.668524,1.897817,1.645934,1.789791,1.819678,Escazú,San José,Índice de competencia
0.9181308,0.8910269,0.932039,0.9096715,0.9539253,0.9728249,Goicoechea,San José,Índice de competencia
0.299519,0.329928,0.3086845,0.4002053,0.4571677,0.3162445,León Cortés,San José,Índice de competencia
2.104624,2.085997,1.836817,1.903942,2.060647,2.000073,Montes de Oca,San José,Índice de competencia
0.6598224,0.6901397,0.6847055,0.776727,0.7572825,0.7194162,Mora,San José,Índice de competencia
0.9315134,0.9092808,1.024864,0.8910992,0.9570106,0.9825867,Moravia,San José,Índice de competencia
0.8170441,0.8229403,0.9074964,0.8241431,0.775744,0.8094321,Pérez Zeledón,San José,Índice de competencia
0.606035,0.5348979,0.5210777,0.5152454,0.5284086,0.5285134,Puriscal,San José,Índice de competencia
3.159512,3.052168,3.046191,3.036001,2.907038,2.805247,San José,San José,Índice de competencia
1.08821,1.28314,1.405456,1.121742,1.191882,1.154061,Santa Ana,San José,Índice de competencia
1.28099,1.383206,1.280485,1.324415,1.298691,1.142663,Tarrazú,San José,Índice de competencia
1.181111,1.182547,1.188397,1.060343,1.064385,1.05119,Tibás,San José,Índice de competencia
0.1449797,0.0681077,0.2831879,0.0857451,0.1578105,0.1462566,Turrubares,San José,Índice de competencia
0.5346725,0.4946416,0.5878553,0.552363,0.5927967,0.6197485,Vázquez de Coronado,San José,Índice de competencia
